Name,Position,DOB,Nationality,Kit Number
tecwds,Goalkeeper,"Apr 18, 1990 (29)",China,6
wpan,Goalkeeper,"Nov 18, 1992 (26)",Italy,37
jsmith,Defender,"Aug 5, 1988 (31)",England,2
mmartin,Midfielder,"Sep 22, 1995 (24)",Spain,8
nklaus,Forward,"Jun 10, 1991 (28)",Germany,11
ppetrov,Defender,"Dec 3, 1993 (26)",Russia,15
slin,Midfielder,"May 29, 1997 (22)",Brazil,21
arodrig,Forward,"Oct 7, 1999 (20)",Argentina,9
cbenoit,Goalkeeper,"Mar 14, 1994 (25)",France,1
gjones,Defender,"Jul 19, 1990 (29)",USA,12
rfernandez,Midfielder,"Jan 30, 1996 (24)",Mexico,17
tnguyen,Forward,"Nov 11, 1998 (21)",Vietnam,19
